CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
Surfrider Foundation Europe,"21 Padulone, 20270 Al?ria, France",FR,Mediterranean Sea,4500,,,20190331,Cleanup,,9.550156299999998,42.1151948,9.550156299999998,42.11519480666368,,20,,,35,70,,45,,,,,,,,,,35,,,,,7,25,,,20,10,5,15,20,10,,,,,,,,,25,,,35,,,,25,,,3,,,,,,,,,,10,15,,,,,45,,50,,,,,,,,,,,,10,,,,,2,,,,5,,,,,4,,,,,,,,,,,,5,10,,,,,,,,,,,,,,,,,,,,,,,45,,,15,,,,,,,,,,,,,,,40,,60,,,,,,,,15,,,0
Mare Nostrum,Saturn,RO,Black Sea,102,Urban,Sandy,20200520,Monitoring,RO000002,28.59050999982037,43.83461000009317,28.590550000003354,43.833689999753865,,,44,6,19,7,,5,,,,,,,,,,39,1,9,1,,1,14,,1,25,5,2,11,2,15,4,,,,,,,,,,,,,,,,,,,1,1,,,,7,2,,,,,,15,,,53,,60,,,,,1,,,,,,,8,,,,1,1,,,8,,,,,,,,,,6,4,,,,,,,1,5,,3,,3,1,10,,,,,,,4,,,,,,,2,,,8,,,6,,,,,,,,,,,13,,,,30,1,,,,,9,,,,60,,1,
Surfrider Foundation Europe,"6 Avenue des Sables, 33121 Carcans, France",FR,North-east Atlantic Ocean,750,,,20190319,Cleanup,,-1.1902098,45.08219329999999,-1.1902098,45.08219330634292,,800,,,23,17,,15,,,5,,,,,,,242,,,,,17,150,,,56,36,5,15,23,36,,,,,,,,,67,,,650,,,,800,,,,,,,,,,,,,134,17,,,,,850,,23,,,,,,,,,,,,75,,,,,40,,,,5,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,38,,,,,,,,18,,,0
"Aarhus University, Denmark ","MSFD Pomlenakke, Falster",DK,Baltic Sea,100,Rural,Other (mixed),20190417,Monitoring,,12.123961764309032,54.805881753177545,12.124830010285642,54.8066318092434,,1,1,,1,1,,,,,,,,,,,,1,1,1,,,,,,,2,,,,,,,,,,,,,,,,1,8,,,,,,,1,,1,1,,,,,,,,,,6,,,6,,10,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,1,,,,25,,,,1,,,
Surfrider Foundation Europe,"14 Boulevard Ferdinand Deveaud, 50340 Siouville-Hague, France",FR,North-east Atlantic Ocean,750,,,20190323,Cleanup,,-1.8431179000000002,49.5678195,-1.8431179000000002,49.567819505826,,,,,20,,,,,,,,,,,,,70,,,,,12,60,,,,20,5,,,,,,,,,,,,3,,,100,,,,9,,,,,,,,,,,,,60,10,,,,,50,,50,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Surfrider Foundation Europe,"2 Rond-Point Pierre Guillaumat, 31400 Toulouse, France",,Unknown,3000,,,20190608,Cleanup,,1.4813069000000003,43.5565126,1.4813069000000003,43.55651260651005,,50,,,30,30,,30,,,5,,,,,,,1,,,,,1,4500,,,25,15,5,50,35,20,,,,,,,,,1,,,1,,,,1,,,1,,,,,,,,,,1,5,,,,,8,,4,,,,,,,,,,,,1,,,,,,,,,3,,,,,2,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,120,,,60,,,,,,,,,,,,,,,7,,140,,,,,,,,20,,,0
Perseus,Gradina,BG,Black Sea,124,Urban,Sandy,20190402,Cleanup,,27.669819162397012,42.408954717780475,27.66837123536421,42.409241406083716,,5,3,,3,3,,1,1,,2,,,,1,,,3,,3,,1,,,,,6,,,20,,3,1,,,,,,,2,,,,18,,4,,,,,,,,,2,,,,,,,1,,,24,,,,7,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aarhus University, Denmark ",MSFD Langerak,DK,North-east Atlantic Ocean,100,Rural,Sandy,20190416,Monitoring,,10.14330978837202,57.02887660067557,10.142177829367327,57.02952727618277,,13,13,,2,1,,3,,,1,,,,,,2,3,5,2,1,6,1,,,,40,,1,6,,3,3,3,,2,,,,,,,1,7,,,,,,,,,,,,,6,20,1,,7,,,163,,,114,1,26,,,,,1,,,,,,,1,1,,,,,1,,12,,2,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,4,1,,3,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,5,,,
gBqsPxAZ,Barceloneta beach,ES,Mediterranean Sea,47,Urban,Other (mixed),20201129,Cleanup,,2.1957206726074223,41.38150999867297,2.1960210800170903,41.38115579295877,,2,4,,2,5,,0,,,,,,,,,,50,,,,,,96,,,1,,,,4,158,,,,,,,,3,,,,2,,0,,,,,,,,,,,,,,,,,,1,59,,,,2,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Surfrider Foundation Europe,"ERROMARDIE, saint jean de luz, France",FR,North-east Atlantic Ocean,100,,,20190405,Monitoring,,-1.6429374000000003,43.404734299999994,-1.6429374000000003,43.40473430652642,,,,,21,,,46,,,,,,,,,,48,,,,,,5,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,,649,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Coder Dojo Dunmore East,Badgers Cove,IE,North-east Atlantic Ocean,36,Urban,Sandy,20190309,Cleanup,,-6.9933061803796,52.150697046270416,-6.992920354831011,52.15092070555982,,0,0,,0,0,,0,,,,,,,,,,0,,,,,,17,,,0,,,,0,0,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
EMBLAS,Mazesta,RU,Black Sea,106,Rural,Other (mixed),20191015,Cleanup,,39.75807549076815,43.55930624408134,39.75699521291705,43.5598623400008,,2,3,,5,1,,0,,,,,,,,,,7,,,,,,11,,,1,,,,2,0,,,,,,,,0,,,,1,,0,,,,,,,,,,,,,,,,,,0,15,,,,1,,,,,,,,,,,,0,,,,,,,,2,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Surfrider Foundation Europe,"Vieille ville de, Barcelona, Espa?a",,Mediterranean Sea,150,,,20191108,Cleanup,,2.1732062,41.3812853,2.1732062,41.3812853067403,,30,,,1,2,,,,,,,,,,,,35,,,,,,214,,,,15,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,,3,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,25,,,,,,,,,,,,,,,3,,,,,,,,,,,,,0
"Aarhus University, Denmark ",MSFD Langerak,DK,North-east Atlantic Ocean,100,Rural,Sandy,20200427,Monitoring,,10.14330978837202,57.02887660067557,10.142177829367327,57.02952727618277,,35,49,,5,3,1,39,,1,1,,,,1,1,4,11,4,5,2,34,2,1,1,,137,1,5,18,1,16,,6,8,1,,1,,,,,8,54,,,,,,,,,1,,,1,15,179,1,,15,3,,113,,,788,1,121,,1,,,8,,3,5,1,,,21,8,,,,,1,,44,4,,,,,,,,,,6,,,,,1,,,6,,,,,,,,,1,,,,,,,,,,,6,6,,15,1,,1,,,,,,,1,,,,,,,,2,1,21,,,1,4,,,,6,1,,
Surfrider Foundation Europe,"Passeig de Joan de Borb?, 78, 08003 Barcelona, Espa?a",ES,Mediterranean Sea,750,,,20191201,Cleanup,,2.1885719,41.37496829999999,2.1885719,41.374968306740946,,,,,14,1,,,,,,,,,,,,68,,,,,4,750,,,,20,1,11,65,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,36,,,,,,,,,,,,,,,25,,,,,,,,,,,,,0
Mare Nostrum,Corbu,RO,Black Sea,104,Rural,Sandy,20201105,Monitoring,RO000008,28.7047400004194,44.36764000026466,28.704280000111872,44.36671999991739,,3,19,2,,2,,3,,1,3,,,,,,,8,1,,1,3,3,271,,,59,1,6,9,1,8,30,1,0,,,,,,,,10,,4,,,,,,,1,1,,,,,1,,,,,,5,,,33,,3,1,,,,2,,,,,,1,7,,,,,,,1,8,,,,,,,,,,,1,,,,,4,,2,24,,,,,1,19,2,,,41,,,7,,,,,,,4,,1,1,,5,19,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,
"Aarhus University, Denmark ","Risø, Roskilde bredning",DK,North-east Atlantic Ocean,100,Rural,Sandy,20200108,Monitoring,,12.083660175000357,55.69224469838412,12.084006600408221,55.69312055604343,,2,4,,,,,1,,,,,,1,,,,2,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,6,,,,,,3,,8,,,,,,,,,2,,,2,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Surfrider Foundation Europe,"35B Rue de la Corniche, 29480 Le Relecq-Kerhuon, France",,North-east Atlantic Ocean,1500,,,20190428,Cleanup,,-4.3860794,48.3977892,-4.3860794,48.3977892059644,,,,,,,,1,,,,,,,,,,,,,,,,20,,,1,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,30,,,0
Surfrider Foundation Europe,"55,, Carrer del Mar, 39, 08390 Montgat, Barcelona, Espagne",ES,Mediterranean Sea,150,,,20191102,Cleanup,,2.2824086,41.4671617,2.2824086,41.46716170673139,,,,,3,10,,,,,2,,,,,,,39,,,,,,230,,,25,20,2,22,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,8,,,17,,,,,,,,,,,,,,,,,,,,,,,,,75,,,0
Surfrider Foundation Europe,"88 All?e des Aliz?s, 34280 La Grande-Motte, France",FR,Mediterranean Sea,4500,,,20190413,Cleanup,,4.0595033,43.5588173,4.0595033,43.5588173065098,,809,,,,374,,319,,,,,,,,,,,,,,,19,1366,,,,6872,5,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,12,60,,,,,,,254,,,,,,,,,,,,2367,,,,,72,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,,,84,,,,,,,,,,,,,,,64,,409,,,,,,,,397,,,0
Surfrider Foundation Europe,"28B Avenue Claude Vignon, 06230 Saint-Jean-Cap-Ferrat, France",,Mediterranean Sea,350,,,20190515,Cleanup,,7.334670900000001,43.6865578,7.334670900000001,43.686557806495976,,64,,,,,,,,,,,,,,,,2,,,,,,15,,,,9,,,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Surfrider Foundation Europe,"Route des Calanques, 13009 Marseille, France",,Mediterranean Sea,350,,,20190523,Cleanup,,5.4510852,43.226865999999994,5.4510852,43.22686600654555,,132,,,29,25,,246,,,1,,,,,,,37,,,,,,49,,,97,1,,36,3,24,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,21,,19,,,,,,,,,,,,52,,,,,1,,,,,,,,,18,,,,,,,,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,,57,,,1,,,,,,,,,,,,,,,91,,71,,,,,,,,17,,,0
Surfrider Foundation Europe,"Unnamed Road, 76910, Criel-sur-Mer, France",FR,North-east Atlantic Ocean,350,,,20190720,Cleanup,,1.3330774,50.04209959999999,1.3330774,50.04209960576919,,30,,,8,22,,15,,,2,,,,,,,40,,,,,,300,,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,40,,15,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,3,,,,,,,,,,,,,,,7,,6,,,,,,,,2,,,0
Surfrider Foundation Europe,"2 Place de la Mairie, 29860 Kersaint-Plabennec, France",,North-east Atlantic Ocean,2000,,,20190713,Cleanup,,-4.3734009,48.47223259999999,-4.3734009,48.472232605955675,,,,,14,40,,,,,,,,,,,,23,,,,,6,2452,,,531,29,,5,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,350,,172,,,,,,,,,,,,,,,,,101,,,,4,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,60,,,56,,,,,,,,,,,,,,,40,,42,,,,,,,,375,,,0
Blue Flag Turkey,Uzunkum Plaj,TR,Black Sea,92,Rural,Sandy,20201126,Monitoring,,29.648157000000005,41.16800999999999,29.647192000000004,41.16841499999999,,96,,,33,17,,8,4,,21,,,1,,1,,111,,4,,,4,,,2,,,,21,,,,,,,,,,,,,2,25,,,,,,,,,,,,,,,,,,6,,42,,,18,,,,,,1,,,,,,,,,,,2,1,6,,,120,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,,,3,,,,,,,,,,2,3,,1,,,1,1,,,,,,,1,,,,,,2,1,1,1,,3,,,1,,,
Surfrider Foundation Europe,"285 Chemin de la Pin?de, 83000 Toulon, France",FR,Mediterranean Sea,350,,,20191116,Cleanup,,5.9488975,43.1146883,5.9488975,43.11468830655758,,16,,,,10,,3,,,,,,,,,,13,,,,,2,3,,,,,5,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,50,,200,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,4,,,,,,,,,,,,,,,1,,9,,,,,,,,1,,,0
"Aarhus University, Denmark ","MSFD Pomlenakke, Falster",DK,Baltic Sea,100,Rural,Other (mixed),20200706,Monitoring,,12.123961764309032,54.805881753177545,12.124830010285642,54.8066318092434,,,,,2,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,2,,,,,,,1,,,,,,1,,,,,,,1,0,,2,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
Surfrider Foundation Europe,Le Havre,FR,North-east Atlantic Ocean,152,Urban,Rocky,20190413,Cleanup,,0.09409614241585564,49.49387922656693,0.09205740029143862,49.49349894932517,,5,,,6,,,2,,,,,,,,,,19,,,,,2,,,,,2,,5,,11,,,,,,,,,,,,48,,,,3,,,,,,,,,,,,,,10,,,23,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,20,,1,,,,,,,,2,,,
Georgia,Batumi,GE,Black Sea,918,Urban,Pebbels,20191113,Cleanup,,41.617777344162434,41.646067119486354,41.61032098055453,41.639974022591076,,0,1,,1,0,,0,,,,,,,,,,0,,,,,,0,,,0,,,,0,0,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Su Urunleri Kasifleri (Seafood Explorers)-Ege University,Güzelbahçe 2. Liman,TR,Mediterranean Sea,95,Urban,Sandy,20190621,Cleanup,TR,26.86165164151722,38.37352482163732,26.86058440523047,38.37332190598808,,27,1,,28,9,,23,,,,,,,,,,118,,,,,,136,2,,12,,,,72,76,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,21,65,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,38,,,18,,,,,,,,,32,,,,,,,,,,,,,,16,,,4,,,,,,,,1,,,,,,,1,,22,,,,,,,,1,,,
Surfrider Foundation Europe,"85 Chemin d'Erromardie, 64500 Saint-Jean-de-Luz, France",FR,North-east Atlantic Ocean,350,,,20190405,Cleanup,,-1.6404229,43.4072848,-1.6404229,43.40728480652614,,77,,,6,5,,10,,,,,,,,,,9,,,,,3,18,,,2,,,,,,,,,,,,,,,,,,,,,4,,,24,,,,,,,,,,1,1,,,,,14,,44,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,,,,,30,,,0
gBqsPxAZ,Test1,TR,Mediterranean Sea,390,Urban,Sandy,20201207,Cleanup,,34.248933792114265,36.55873931401893,34.24653053283692,36.55580917198498,,3,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfrider Foundation Europe,"Passeig Migdia, 100P, 08005 Barcelona, Espa?a",ES,Mediterranean Sea,350,,,20190406,Cleanup,,2.20667,41.394079999999995,2.20667,41.39408000673898,,,,,2,3,,59,,,,,,,,,,27,,,,,,621,,,,,1,1,9,22,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,73,,4,,,,,,,,,,,,110,,,,,,,,,2,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,12,,,5,,,,,,,,,,,,,,,6,,,,,,,,,,6,,,0
Surfrider Foundation Europe,Port la Nouvelle Est Vieille Nouvelle,FR,Mediterranean Sea,578,,,20200216,Cleanup,,3.0656016513203523,43.0225925414428,3.068023509326352,43.02748378022118,,50,,,20,10,,2,,,,,,,,,,30,,,,,9,20,,,30,10,6,10,10,100,,,,,,,,,,,,100,,,,100,,,50,,,,,,,,,,5,5,,,100,,100,,,,,,,,,,,,,,0,,,,,2,,,,5,,,,,5,,,,,50,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,30,,3,,,,,,,,20,,,
Surfrider Foundation Europe,"Platja de fenals Passeig De Fixme, 17310, Girona, Espa?a",,Mediterranean Sea,350,,,20190703,Cleanup,,2.8320443,41.693737600000006,2.8320443,41.69373760670783,,21,,,1,2,,,,,,,,,,,,9,,,,,,382,,,75,8,1,5,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,4,,,8,,,,,,,,,,,,,,,2,,2,,,,,,,,49,,,0
gBqsPxAZ,Resen strand,DK,North-east Atlantic Ocean,283,,,20200415,Cleanup,,9.043100716921591,56.59521797666328,9.043884047849371,56.59773029783643,,0,1,,0,0,,0,,,,,,,,,,0,,,,,,5,,,0,,,,0,0,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
Surfrider Foundation Europe,"D58, 78320 Le Mesnil-Saint-Denis, France",,Unknown,350,,,20190518,Cleanup,,1.9634123999999997,48.7409325,1.9634123999999997,48.74093250592407,,115,,,24,14,,27,,,5,,,,,,,5,,,,,1,7,,,50,,3,8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,19,,20,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,38,,,5,,,,,,,,,,,,,,,5,,34,,,,,,,,50,,,0
Surfrider Foundation Europe,"900 Avenue de l'Oc?an, 40660 Moliets-et-Maa, France",,North-east Atlantic Ocean,350,,,20190427,Cleanup,,-1.3899079,43.8523666,-1.3899079,43.852366606478,,106,,,8,12,,,,,16,,,,,,,836,,,,,4,6,,,59,27,14,2,,39,,,,,,,,,,,,269,,,,239,,,2,,,,,,,,,,12,2,,,,,2469,,14,,,,,,,,,,,,628,,,,,7,,,,,,,,,,,,,,,,,,,,,20,5,,,,,,,,,,,,,,,,,,,,,,,3,,,10,,,,,,,,,,,,,,,,,6,,,,,,,,3,,,0
"Aarhus University, Denmark ",MSFD Nymindegab,DK,North-east Atlantic Ocean,100,Rural,Sandy,20200420,Monitoring,,8.163800428153905,55.841436811772645,8.16400913643878,55.84054877552571,1,4,5,,2,1,2,11,,,,,,1,,,,1,2,2,,2,,,,,3,,1,3,,2,,1,,1,,1,,,,,1,34,,2,,3,,,,,,,,2,4,38,,,,,,3,,,42,,5,,,,,,,,,,,,2,1,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfrider Foundation Europe,"Rue de la Poterne, 45000 Orl?ans, France",,Unknown,750,,,20190519,Cleanup,,1.9093705000000003,47.89911649999999,1.9093705000000003,47.899116506022644,,,,,22,,,10,,,,,,,,,,,,,,,2,670,,,8,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,22,,,123,,,,,,,,,,,,,,,,,12,,,,,,,,,,,0
gBqsPxAZ,Kvavilnari,GE,Black Sea,50,Near river mouth,Sandy,20190824,Monitoring,GEO.2.R08.26.28.01.049 (national cadastral code),41.75558901838657,42.011130539944595,41.755758125340506,42.01069444508964,3,,32,,151,,16,10,5,,8,,,,1,,,181,,,,,3,,1,1,12,,2,35,,,,,,,,,,,,,2,1,,,,1,,,,12,,,,,2,,,,,11,,,150,,,,,,,,,,,,,,,,,1,,,1,49,,,180,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,2,10,,13,,,,,,,,,,,,,,,,,,,4,,4,,,,,,30,,1,
Surfrider Foundation Europe,"Unnamed Road, Fouesnant, France",,North-east Atlantic Ocean,4000,,,20190903,Cleanup,,-4.0215125,47.8572814,-4.0215125,47.857281406027504,,,,,2,3,,,,,4,,,,,,,10,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,20,,10,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,7,,2,,,,,,,,200,,,0
Surfrider Foundation Europe,"628 Boulevard Commandant l'Herminier, 83220 Le Pradet, France",,Mediterranean Sea,750,,,20190927,Cleanup,,6.025015700000001,43.09139030000001,6.025015700000001,43.091390306560086,,5,,,2,1,,10,,,5,,,,,,,20,,,,,1,150,,,20,1,1,1,1,1,,,,,,,,,1,,,10,,,,10,,,10,,,,,,,,,,1,1,,,,,10,,50,,,,,,,,,,,,1,,,,,1,,,,1,,,,,1,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,1,,,10,,,,,,,,,,,,,,,1,,20,,,,,,,,20,,,0
Surfrider Foundation Europe,"15 Avenue des Eucalyptus, 83380 Roquebrune-sur-Argens, France",,Mediterranean Sea,150,,,20190929,Cleanup,,6.7133463,43.35018199999999,6.7133463,43.350182006532286,,10,,,15,5,,10,,,,,,,,,,50,,,,,,200,,,,,,,,10,,,,,,,,,,,,1,,,,,,,10,,,,,,,,,,,1,,,,,50,,30,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,4,,,30,,,,,,,,,,,,,,,30,,10,,,,,,,,20,,,0
Surfrider Foundation Europe,"15 Prom. Maurice Rouvier, 06230 Saint-Jean-Cap-Ferrat, France",,Mediterranean Sea,150,,,20191128,Cleanup,,7.3334347,43.6944484,7.3334347,43.69444840649513,,268,,,,,,,,,21,,,,,,,251,,,,,,3,,,,5,,,,16,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,0
Surfrider Foundation Europe,"R. Novo Horizonte A, 3080-515 Quiaios, Portugal",,North-east Atlantic Ocean,1200,,,20190414,Cleanup,,-8.8900667,40.217466699999996,-8.8900667,40.21746670685953,,100,,,,,,20,,,30,,,,,,,50,,,,,3,20,,,,30,5,30,,100,,,,,,,,,30,,,50,,,,100,,,,,,,,,,,,,,3,,,,,80,,30,,,,,,,,,,,,30,,,,,,,,,2,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,10,,,40,,,,,,,,,,,,,,,3,,5,,,,,,,,,,,0
Surfrider Foundation Europe,"31 Quai de la Loire, 75019 Paris, France",,Unknown,1500,,,20190704,Cleanup,,2.3756667,48.8858025,2.3756667,48.88580250590698,,15,,,,92,,249,,,5,,,,,,,92,,,,,,2000,,,,,,32,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,,4,,,,,,,,,,,,45,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,0
